90217,adj,95968
90217,adj,95969
90218,adj,90219
90218,adj,90220
90218,adj,92899
90218,adj,92900
90219,adj,90218
90219,adj,90220
90219,adj,92856
90219,adj,93851
90219,adj,93852
90220,adj,90218
90220,adj,90219
90220,adj,90221
90221,adj,90220
90221,adj,95068
90221,adj,95069
90221,adj,95070
90222,adj,90223
90222,adj,90224
90222,adj,116097
90223,adj,90222
90223,adj,90224
90224,adj,90222
90224,adj,90223
90224,adj,90225
90224,adj,90226
90225,adj,90224
90225,adj,90226
90225,adj,95501
90225,adj,95502
90225,adj,95503
90226,adj,90224
90226,adj,90225
90226,adj,116220
92231,adj,116220
92231,adj,117189
92237,adj,102138
92237,adj,111380
92241,adj,103763
92241,adj,103764
92241,adj,112746
92688,adj,92689
92688,adj,92690
92688,adj,92691
92689,adj,92688
92689,adj,92690
92689,adj,92691
92689,adj,95070
92689,adj,103765
92690,adj,92688
92690,adj,92689
92690,adj,92691
92690,adj,92694
92690,adj,92697
92691,adj,92688
92691,adj,92689
92691,adj,92690
92691,adj,92692
92691,adj,92693
92692,adj,92691
92692,adj,92693
92692,adj,111369
92693,adj,92691
92693,adj,92692
92694,adj,92690
92694,adj,92695
92694,adj,92696
92694,adj,92697
92695,adj,92694
92695,adj,92696
92695,adj,99907
92695,adj,99909
92695,adj,99910
92696,adj,92694
92696,adj,92695
92697,adj,92690
92697,adj,92694
92697,adj,99881
92697,adj,99902
92858,adj,92878
92858,adj,93220
92876,adj,92877
92876,adj,92878
92876,adj,92881
92877,adj,92876
92877,adj,92878
92877,adj,92883
92878,adj,92858
92878,adj,92876
92878,adj,92877
92878,adj,93220
92881,adj,92876
92881,adj,92899
92883,adj,92877
92883,adj,102121
92883,adj,102124
92899,adj,90218
92899,adj,92881
92899,adj,92900
92900,adj,90218
92900,adj,92899
92900,adj,101301
92900,adj,102121
93220,adj,92858
93220,adj,92878
93220,adj,116219
93851,adj,90219
93851,adj,93852
93851,adj,101298
93851,adj,101300
93852,adj,90219
93852,adj,93851
93852,adj,96475
93852,adj,96484
94159,adj,94160
94159,adj,94161
94159,adj,94162
94159,adj,98668
94159,adj,98669
94160,adj,94159
94160,adj,94161
94160,adj,94162
94160,adj,95970
94161,adj,94159
94161,adj,94160
94161,adj,94162
94161,adj,95968
94162,adj,94159
94162,adj,94160
94162,adj,94161
94162,adj,94163
94162,adj,94164
94163,adj,94162
94163,adj,94164
94163,adj,98670
94163,adj,102120
94164,adj,94162
94164,adj,94163
94164,adj,95068
94164,adj,103765
95068,adj,90221
95068,adj,94164
95068,adj,95069
95068,adj,95070
95068,adj,103765
95069,adj,90221
95069,adj,95068
95069,adj,95070
95069,adj,95071
95069,adj,95072
95069,adj,95073
95070,adj,90221
95070,adj,92689
95070,adj,95068
95070,adj,95069
95070,adj,103765
95071,adj,95069
95071,adj,95072
95071,adj,95073
95071,adj,95075
95072,adj,95069
95072,adj,95071
95072,adj,95073
95072,adj,99880
95072,adj,99882
95073,adj,95069
95073,adj,95071
95073,adj,95072
95073,adj,99880
95073,adj,99881
95075,adj,95071
95075,adj,112727
95501,adj,90225
95501,adj,95502
95501,adj,95503
95501,adj,95504
95501,adj,95505
95502,adj,90225
95502,adj,95501
95502,adj,95503
95502,adj,95506
95502,adj,95507
95503,adj,90225
95503,adj,95501
95503,adj,95502
95503,adj,95598
95503,adj,95933
95504,adj,95501
95504,adj,95505
95505,adj,95501
95505,adj,95504
